full_text,Label,predicted_label
"['minimal', 'kl', 'gue', 'editin', 'cari', 'materinya', 'lah', 'ajg', 'udh', 'di', 'bagi', 'juga', 'tugas', 'per', 'materi', 'malah', 'kaga', 'di', 'cari', 'boro', 'boro', 'di', 'cari', 'pesan', 'ny', 'di', 'read', 'aja', 'kaga', 'babi', 'lo', 'anjing', 'beban', 'bnr', 'ðÿƒ', 'ijin', 'misuh', 'y']",Bully,Bully
"['jamur', 'ðÿ', 'ngapain', 'sih', 'ikut', 'becky', 'ke', 'luar', 'negerimending', 'tiduran', 'di', 'rumah', 'sama', 'aku', 'sambil', 'maen', 'sama', 'anjing', 'kalau', 'kamu', 'pergi', 'pergi', 'terus', 'kapan', 'ada', 'waktu', 'sama', 'aku', 'yaaaaaaang', 'ðÿðÿ']",Bully,Bully
"['susi', 'saha', 'anjing', 'btw', 'galang', 'sampe', 'sekarang', 'juga', 'masih', 'galangðÿ']",NoBully,NoBully
"['gini', 'amat', 'jadi', 'tim', 'gede', 'pemegang', 'gelar', 'liga', 'inggris', 'keliatan', 'banget', 'kali', 'pada', 'syirik', 'nya', 'ke', 'emyu', 'apalagi', 'smal', 'club', 'itu', 'makan', 'tuh', 'fakta', 'anjing']",NoBully,NoBully
"['lah', 'ini', 'anjing', 'lagi', 'ngetweet']",NoBully,NoBully
"['gak', 'salah', 'sih', 'anjing', 'wkkwkwkwk']",NoBully,NoBully
"['anjing', 'admin', 'kantor', 'pada', 'dibayarin', 'nonton', 'aespa', 'tot', 'iri', 'berat']",NoBully,NoBully
"['tonjok', 'perut', 'dia', 'gw', 'cemburu', 'anjing']",NoBully,NoBully
"['segala', 'salah', 'submit', 'anjing', 'anjing']",NoBully,NoBully
"['mau', 'anak', 'anjing', 'pake', 'banget']",NoBully,NoBully
"['bukan', 'masalah', 'percaya', 'rumor', 't', 'pi', 'tae', 'pasti', 'baklan', 'date', 'sama', 'cewek', 'ga', 'bakalan', 'sama', 'cowok', 'anjing', 'memang', 'mereka', 'yang', 'tolol', 'ngatain', 'tolol', 'bilang', 'tae', 'dating', 'women', 'tuh', 'langsung', 'pada', 'tantrum', 'jekicot', 'dating', 'bongo']",NoBully,Bully
"['anjing', 'lah', 'anjing']",NoBully,NoBully
"['gausah', 'bawa', 'army', 'anjing', 'gaada', 'sangkut', 'pautnya', 'orang', 'ini', 'antar', 'reveluv', 'blink', 'paling', 'gak', 'demen', 'lagi', 'ngomongin', 'apa', 'yang', 'dibahas', 'apa', 'ganyambung', 'bgt']",NoBully,NoBully
